,num,del_flag,id,full_name
Влад Росс,51,False,717,
Серг Риженк,51,False,718,Сергій Риженко
Євген Щербан,50,False,719,
Ілон Гвозд,50,False,720,
Гетманц,50,False,721,
Олександр Шумк,50,False,722,
Євген Дубровськ,50,False,723,Євген Дубровський
Навальн,50,True,724,
Андрес Мануел,50,False,725,
Юл Навальн,50,True,726,
Блогерк,50,False,727,
Максим Микитас,50,True,728,
Олександр Лємєн,50,False,729,Олександр Лємєнов
Андр Сибіг,50,False,730,
Вад Аріст,50,False,731,Вадим Арістов
Єрмак,49,False,732,
Валентин Рыбин,49,False,733,Валентин Рибін
Андр Цаплієнк,49,False,734,
Анастас,49,False,735,
Андр Волянськ,49,False,736,Андрій Волянський
Павл Кухт,49,False,737,Павло Кухта
Офис Генпрокурор,49,True,738,
Миха Чаплыг,49,False,739,
Родіон Гайсинськ,49,True,740,
Юр Дудкін,49,False,741,
Миха Ефрем,49,True,742,
Євген Перебийніс,48,False,743,
Володимир Соловй,48,True,744,
Андр Піонтковськ,48,False,745,
Валентин,48,True,746,
Світлан,48,False,747,
Армен Саркісян,48,True,748,
Оксан Калмик,48,True,749,
Кейт Міддлтон,48,True,750,
Вітал Ковал,48,False,751,
Оксан Маркар,48,False,752,
Реджеп Тайип Эрдога,48,False,753,
Марин Скад,48,False,754,
Президент Байден,48,False,755,
Олександр Савченк,48,False,756,
Олександр Данилюк,48,False,757,
Понсен,47,False,758,
Олен Кондратюк,47,False,759,
Дмитр Медведєв,47,False,760,
Віктор Коваленк,47,True,761,
Луческ,47,True,762,
Мік Ньютон,47,False,763,
дер Ляйен,47,False,764,
Серг Аксен,47,False,765,
Іон Кік,47,True,766,
Олен Бондаренк,47,False,767,
Рудольф Джуліан,47,True,768,
Олен Шоптенк,47,False,769,
Родіон Мірошник,47,False,770,
Авак,46,False,771,
Юр Ткач,46,True,772,
Євген Дик,46,False,773,
Євген Істребін,46,False,774,Євген Істребін
Євген Нищук,46,False,775,
Ан Лорак,46,True,776,
Серг Тарут,46,False,777,
Дмитр,46,True,778,
Ігор Тинн,46,False,779,
Дмитр Піневич,46,True,780,
Анастасі Заворотнюк,46,False,781,
Руслан Савчук,46,True,782,
Валентин Землянск,46,False,783,
Христин Горняк,46,False,784,
Серг Дрозд,45,True,785,
Джек Дорс,45,True,786,
Олександр Коляд,45,False,787,Олександр Коляда
Нел Штеп,45,False,788,
Клеман Бон,45,False,789,
Парламентар,45,False,790,
Павл Рябікін,45,True,791,
Олександр Завітневич,45,True,792,
Джон Салліван,45,False,793,
Ніколас Мадур,45,True,794,
